GC name:G1 Young Generation
GC name:G1 Old Generation
new size:2000000
start:3280 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:4321 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:4829 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:5240 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(38 ms)
start:5944 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:6730 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:7160 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(38 ms)
start:7897 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:8528 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:9034 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:9454 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:9875 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:10290 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:10703 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:11112 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:11559 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:11966 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:12383 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:12815 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:13325 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:13745 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(37 ms)
start:14120 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:14477 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:14836 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:15207 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:15572 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:15994 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:16414 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:16731 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:17033 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:17346 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:17705 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:17997 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:18320 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:18356 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(17 ms)
start:18743 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:19141 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:19612 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:20050 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:20477 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:20889 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:21295 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:21715 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:22122 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:22507 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:22887 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:23274 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:23657 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(28 ms)
start:24004 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:24342 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:24670 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:24990 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:25298 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:25606 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:25900 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(22 ms)
start:26253 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:26290 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:26730 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:27140 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(17 ms)
start:27576 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:28007 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:28415 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:28833 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:29249 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:29708 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:30128 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:30542 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:30918 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:31278 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:31669 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:32015 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
