Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:4464 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(73 ms)
start:5277 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(83 ms)
start:6443 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:8077 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:8856 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(106 ms)
start:10012 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(119 ms)
start:11145 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(105 ms)
start:11923 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(106 ms)
start:12738 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:13574 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:14391 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(108 ms)
start:15198 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(120 ms)
start:15988 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:16867 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(75 ms)
start:17639 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:18390 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(103 ms)
start:19181 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(111 ms)
start:19984 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(100 ms)
start:20753 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:21548 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(112 ms)
start:22308 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(111 ms)
start:23070 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:23820 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(79 ms)
start:24567 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:25347 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:26164 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:26947 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:27727 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:28515 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:29282 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(105 ms)
start:30096 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(107 ms)
start:30870 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:31641 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(77 ms)
start:32411 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(103 ms)
start:33188 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:33978 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:34757 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:35530 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:36293 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:37101 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(119 ms)
start:37878 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(108 ms)
start:38659 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:39428 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(81 ms)
start:40196 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:40956 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:41758 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
